    0.912944037804191311E+02    0.677267532881753596E+02    0.534068197598685179E+00   -0.696634550556593624E+00    0.956362984651916292E+02    0.724245586166180066E+00    0.812986760739161873E+00    0.126395743722024045E+01    0.982577961291561719E+00    0.121994715081893679E+01    0.879765815197711909E+00    0.105247046579342052E+01    0.712588479087691185E+00    0.117283193423532128E+01    0.108523442595093078E+01    0.109579325264215255E+01    0.901824539981411877E+00    0.125060220183525583E+01    0.125361076133632743E+01   -0.643129786915247109E+03
    0.103439912252279370E+03    0.701584792024679018E+02    0.107728239948981641E+01   -0.904243170772531357E+00    0.109267285573277334E+03    0.115955645390146778E+01    0.115853687929490667E+01    0.128323734581459159E+01    0.123429262608200307E+01    0.124511233603739591E+01    0.804806074448400799E+00    0.120234843482801335E+01    0.701535672815968181E+00    0.907584599952887094E+00    0.105238185880295210E+01    0.103793313239135476E+01    0.830321136999884413E+00    0.126634900782009963E+01    0.908178002063719458E+00   -0.641082466803829220E+03
    0.989035586827250199E+02    0.664735936891929668E+02    0.680431428258817750E+00   -0.686199425979038935E+00    0.753333332762720005E+02    0.115483471674357085E+01    0.114967201167457267E+01    0.108304814511781200E+01    0.108311386654214825E+01    0.123877724753559870E+01    0.786912214003356758E+00    0.106105083888690244E+01    0.111094742466320917E+01    0.121907388148917972E+01    0.886924638781811270E+00    0.110064292692401811E+01    0.839112986485829326E+00    0.125960931145792721E+01    0.126742905258746985E+01   -0.640540466953279861E+03
    0.917462534881111225E+02    0.726356234484557604E+02    0.638142848073108282E+00   -0.615895785222832615E+00    0.673516418471820941E+02    0.123637237851089532E+01    0.120483028875378473E+01    0.113774742336339862E+01    0.854971283340156152E+00    0.128893729890101838E+01    0.904955387840789105E+00    0.717320727383109147E+00    0.983975081996076417E+00    0.103058774696840327E+01    0.762298126376699359E+00    0.119722903084690158E+01    0.913757137346581594E+00    0.115615403734146316E+01    0.824534502192893370E+00   -0.640337150566009313E+03
    0.100617725402425094E+03    0.612455422356701149E+02    0.690084408943637095E+00   -0.782769367600304022E+00    0.100397282535159604E+03    0.843642227888939278E+00    0.117957245272764322E+01    0.127759718506505360E+01    0.101422735898533722E+01    0.935951967352982583E+00    0.802009344925248557E+00    0.901147025315454986E+00    0.904116336598738912E+00    0.129124039236820964E+01    0.106658164176269099E+01    0.921005180084730757E+00    0.787525783339125929E+00    0.109701603232789258E+01    0.703129614981573337E+00   -0.640055987232969983E+03
    0.101466646612421897E+03    0.601631371101030652E+02    0.931718445219854585E+00   -0.868022606264668539E+00    0.120730722709662260E+03    0.859793990125197860E+00    0.809481848800303050E+00    0.109688554830384111E+01    0.102699222454251937E+01    0.121470438054912933E+01    0.835111935435074004E+00    0.101459019567290065E+01    0.804765959565620470E+00    0.875938813181878273E+00    0.872424915276219126E+00    0.116002364130608027E+01    0.712674926277742316E+00    0.112722515386926236E+01    0.768194979149299129E+00   -0.639972442346076605E+03
    0.946020198281604507E+02    0.651697627632845240E+02    0.165989076065070823E+00   -0.278139972325408991E+00    0.570519439832983934E+02    0.101760625096050283E+01    0.107896032633535222E+01    0.115012692726457688E+01    0.999601504165492427E+00    0.101734823189593726E+01    0.922341798165587701E+00    0.823993846327959134E+00    0.876707858371566617E+00    0.810384189751343409E+00    0.949039266768572864E+00    0.105368369880351209E+01    0.834132804948541362E+00    0.970931226693604321E+00    0.112286297089171883E+01   -0.639704310925949244E+03
    0.106820239926216090E+03    0.584840109659751022E+02    0.842274336902067655E+00   -0.844500582684119649E+00    0.109627884874331357E+03    0.103190162340193181E+01    0.871728112943137678E+00    0.129704778780437890E+01    0.123212658760084159E+01    0.103216246815116364E+01    0.752609821449901850E+00    0.863700817623376471E+00    0.713706551172707315E+00    0.119224975168228386E+01    0.995084314410378257E+00    0.123889683064558476E+01    0.950885917080667165E+00    0.111355632391186488E+01    0.754599095366725980E+00   -0.639554790097275713E+03
    0.104377288280419293E+03    0.627116296426755184E+02    0.674257421765613540E+00   -0.707166543338257014E+00    0.825862300759395680E+02    0.123112712987847361E+01    0.853388978648281782E+00    0.115947209702143672E+01    0.881184836608942645E+00    0.129276248114407122E+01    0.825060385278043373E+00    0.877947006133465102E+00    0.100626793187599994E+01    0.880745278015795829E+00    0.127415226474665433E+01    0.114696934189015542E+01    0.892694775150289943E+00    0.111706770303053871E+01    0.985721458941942408E+00   -0.639427471089351116E+03
    0.842624923788533238E+02    0.673000532732558838E+02    0.794803332709168586E+00   -0.767156786027616278E+00    0.938677452589775072E+02    0.902139379185274759E+00    0.110156279893696696E+01    0.117002212732033817E+01    0.923992500380204085E+00    0.128309162057101034E+01    0.100425739290041904E+01    0.980667666704109653E+00    0.796403362135462145E+00    0.123790769157697866E+01    0.712651664282199504E+00    0.710929323045359496E+00    0.103290244136444276E+01    0.771529459732393397E+00    0.982460454645275094E+00   -0.639327128371813387E+03
