name ra dec ra1 dec1ra2 dec2 ra3 dec3 ra4 dec4 aGBM aIPN ratio
bn110227420 243.088 -13.705 247.332 10.417 246.985 10.521 238.841 -29.795 239.241 -29.862 1270. 15.600 81.1
bn110301214 230.458 29.876 227.600 43.044 227.379 43.044 231.068 16.439 231.231 16.471 597. 4.720 126.0
bn110304071 323.668 37.973 344.401 45.277 339.090 50.808 309.434 23.716 315.447 20.137 1130. 292.000 3.9
bn110328520 124.286 47.529 132.997 60.076 132.320 60.281 118.639 33.392 119.106 33.336 667. 12.800 52.1
bn110401920 263.818 26.609 250.108 40.810 249.041 39.638 272.421 8.762 273.772 9.251 1400. 67.100 20.9
bn110407998 97.227 -13.336 100.325 0.783 100.006 0.870 93.979 -26.061 93.615 -26.005 591. 9.940 59.4
bn110415541 212.230 -2.100 200.897 12.208 199.278 10.961 201.447 -23.498 202.930 -24.742 1200. 98.700 12.1
bn110421757 276.291 57.265 274.179 63.174 277.075 51.884 275.252 62.630 277.828 51.318 718. 4.580 157.0
bn110428338 5.653 64.852 7.747 65.120 1.927 64.400 9.583 65.186 3.633 64.551 661. 0.236 2800.0
bn110505203 21.311 -33.457 6.806 -20.353 6.108 -28.326 36.135 -40.822 42.574 -35.163 1000. 243.000 4.1
bn110517573 189.664 5.690 185.085 -1.669 196.366 11.957 185.821 -0.480 195.314 11.011 753. 3.000 251.0
bn110521478 68.925 -59.374 59.460 -61.980 77.519 -55.983 57.809 -62.086 76.382 -56.272 840. 2.200 382.0
bn110522633 177.931 -33.514 175.373 -26.100 182.091 -40.640 175.613 -24.949 181.949 -39.707 1200. 6.350 188.0
bn110526715 102.234 -8.773 111.711 7.477 109.634 9.479 88.234 -22.145 90.883 -23.483 1130. 125.000 9.0
bn110529034 124.280 74.348 35.861 86.541 47.532 85.388 126.477 58.014 128.864 57.523 1180. 54.600 21.6
bn110529262 177.320 13.480 188.018 24.659 185.945 26.622 168.862 0.731 171.406 -0.207 754. 104.000 7.2
bn110601681 315.454 12.590 313.632 27.817 302.536 24.579 317.028 -2.966 325.687 2.847 784. 380.000 2.1
bn110605183 13.049 50.046 33.493 58.313 33.594 58.189 3.485 37.268 3.643 37.217 755. 4.840 156.0
bn110613631 355.519 4.890 354.851 6.035 354.062 8.523 0.000 0.000 356.283 3.532 951. 4.180 227.0
bn110618366 176.624 -72.300 174.830 -72.015 177.508 -73.793 175.925 -70.794 178.477 -72.566 579. 1.530 378.0
bn110622158 130.806 19.550 131.871 33.596 131.039 33.664 123.643 7.856 124.291 7.574 597. 26.200 22.8
bn110629174 71.690 24.819 73.669 44.862 73.880 44.829 77.575 6.499 77.723 6.547 1190. 6.660 179.0
bn110705151 156.032 40.117 156.133 40.234 156.009 39.899 156.055 40.334 155.931 39.999 962. 0.030 32600.0
bn110705364 117.269 29.959 117.371 30.766 117.324 29.268 117.202 30.617 117.151 29.084 855. 0.219 3910.0
bn110706202 102.416 14.943 102.337 14.035 102.711 15.140 102.121 14.750 102.500 15.945 1230. 0.524 2340.0
bn110706477 93.634 -50.624 76.930 -40.479 77.509 -39.906 116.905 -56.971 117.398 -56.304 721. 29.000 24.8
bn110709463 157.254 22.199 149.593 36.179 148.974 35.956 153.652 7.769 154.218 7.736 674. 18.000 37.5
bn110710954 225.451 51.390 213.829 44.347 209.984 46.187 241.295 56.282 236.697 58.744 47. 49.100 10.4
bn110717180 300.385 -3.548 285.840 11.647 283.005 8.696 300.558 -25.182 304.729 -25.427 1540. 191.000 8.1
bn110717319 314.437 -16.981 315.696 -20.418 313.549 -13.498 315.524 -20.208 313.528 -13.762 558. 0.729 766.0
bn110720177 193.406 -44.862 193.126 -45.292 193.137 -44.876 193.676 -44.848 193.685 -44.428 708. 0.173 4080.0
bn110721200 334.895 -38.136 336.478 -37.981 333.251 -38.746 336.506 -37.432 333.311 -38.214 526. 1.320 398.0
bn110722694 215.703 5.816 216.081 6.452 215.373 5.453 216.031 6.170 215.318 5.156 674. 0.153 4410.0
bn110726211 311.755 4.993 330.304 12.772 328.753 14.189 305.292 -12.140 306.895 -13.632 979. 75.200 13.0
bn110728056 170.876 20.766 152.947 32.220 152.011 31.329 167.982 -5.932 167.053 -5.539 1550. 57.400 27.0
bn110729142 353.983 4.717 343.135 15.395 342.629 14.862 357.718 -8.944 358.414 -8.709 662. 27.300 24.2
bn110813237 59.749 36.691 58.611 50.214 57.801 50.147 61.092 21.930 61.654 21.962 637. 16.500 38.7
bn110817191 327.947 -46.227 327.972 -46.510 328.170 -45.925 327.719 -46.528 327.921 -45.944 563. 0.099 5690.0
bn110819665 156.778 -74.278 139.919 -74.855 176.395 -71.855 136.141 -74.554 172.547 -72.319 680. 2.370 287.0
bn110824009 153.703 0.252 152.910 -1.223 155.383 3.256 152.628 -1.477 154.808 2.389 649. 0.650 998.0
bn110825102 44.906 15.385 45.547 13.373 44.507 16.394 45.265 14.521 43.979 18.445 567. 0.693 818.0
bn110828575 107.531 -23.436 98.414 -11.774 98.040 -12.015 120.671 -31.973 120.907 -31.585 648. 14.200 45.7
bn110831282 353.324 36.455 315.038 44.335 315.049 43.990 10.297 20.405 10.018 20.177 1900. 21.800 87.4
bn110903009 169.243 43.002 167.605 44.431 171.210 41.589 167.058 44.333 170.697 41.523 829. 1.310 632.0
bn110904124 348.758 40.308 328.019 44.574 328.012 44.288 3.441 31.920 3.190 31.729 817. 11.900 68.9
bn110906302 24.905 15.233 15.800 30.054 15.345 29.945 30.786 -2.260 31.131 -2.070 1000. 15.400 65.4
bn110909116 343.716 -27.207 343.822 -27.544 343.751 -26.760 343.676 -27.650 343.608 -26.869 605. 0.108 5610.0
bn110919634 277.803 66.386 277.412 66.378 278.318 66.532 277.294 66.238 278.195 66.392 675. 0.044 15400.0
bn110920338 94.918 32.503 94.847 33.246 95.107 33.853 94.735 30.922 94.989 31.704 1140. 0.424 2690.0
bn110920546 200.138 -25.281 200.487 -25.191 200.951 -24.251 199.349 -26.230 199.790 -25.366 538. 0.511 1050.0
bn110921912 5.875 -26.565 5.974 -26.714 5.912 -26.345 5.837 -26.785 5.776 -26.416 527. 0.052 10100.0
bn110923835 325.276 -8.152 309.220 2.387 308.560 1.909 328.802 -28.025 329.589 -27.556 993. 30.200 32.9
bn110926107 68.796 12.176 69.079 10.971 68.603 12.531 68.987 11.837 68.478 13.566 864. 0.417 2070.0
bn110928180 149.627 31.888 149.733 32.287 149.936 31.942 149.318 31.833 149.520 31.483 719. 0.212 3390.0
bn110929187 275.955 -60.061 283.836 -42.427 273.420 -42.054 249.040 -73.454 275.385 -77.745 955. 303.000 3.2
bn111003465 279.457 -64.043 279.621 -64.201 279.288 -64.078 279.626 -64.007 279.295 -63.884 533. 0.028 18800.0
bn111009282 180.255 -62.152 158.836 -52.587 159.031 -52.327 207.609 -64.281 207.805 -64.019 595. 8.230 72.3
bn111011094 42.892 -26.553 22.373 -22.693 26.554 -28.613 53.713 -25.367 58.149 -17.127 1640. 192.000 8.5
bn111012456 156.066 68.867 182.311 75.053 143.072 61.102 178.791 74.408 142.196 59.904 651. 3.680 177.0
bn111012811 93.261 68.736 93.477 68.933 92.917 68.686 93.608 68.786 93.050 68.539 777. 0.041 18700.0
bn111015427 221.202 -57.730 221.015 -57.867 221.137 -57.627 221.268 -57.832 221.388 -57.592 695. 0.029 24200.0
bn111017657 17.588 -9.253 9.651 -1.535 9.997 -1.426 28.559 -13.935 28.529 -13.576 576. 9.060 63.5
bn111024722 158.965 -50.837 168.158 -67.467 157.932 -35.307 170.867 -69.047 158.102 -36.534 809. 5.930 136.0
bn111107035 170.010 -65.464 170.478 -46.145 170.033 -45.979 224.729 -84.871 1440. 14.800 97.6
bn111109453 120.409 -27.044 130.594 -14.092 129.884 -14.023 99.928 -41.582 99.882 -42.337 1860. 24.900 74.4
bn111109873 131.300 49.129 153.684 53.104 113.294 32.357 153.222 52.483 113.193 30.033 692. 23.700 29.3
bn111112908 225.513 37.331 227.714 38.171 222.926 36.376 228.095 38.163 223.321 36.402 1470. 0.520 2830.0
bn111114233 264.222 -19.548 248.687 -12.228 248.302 -14.217 259.420 -34.835 261.662 -35.713 1640. 89.500 18.3
bn111127810 107.369 -0.741 107.358 -1.082 107.230 -0.562 107.508 -0.920 107.380 -0.398 720. 0.102 7060.0
bn111216389 188.512 4.375 194.969 15.951 195.199 15.769 183.414 -8.987 183.692 -9.064 612. 9.450 64.7
bn111220486 267.892 -60.163 267.644 -60.409 267.596 -60.081 268.189 -60.244 268.136 -59.915 524. 0.091 5730.0
