GRBa,GRB X-ray position,Error,Instrument,IPNb,XAb,OTb,RAb,IAUC,zc,position,sod,seen_by_fermi,name
190211A,13h06m42s +41° 58',3,Swift,,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (196.675, 41.96666667)>",72943.63,False,
190204A,23h26m08s +54° 53',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (351.53333333, 54.88333333)>",72943.63,False,
190203A,01h30m18s +55° 55',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (22.575, 55.91666667)>",72943.63,False,
190202A,11h06m03s +09° 23',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (166.5125, 9.38333333)>",5970.35,True,bn190202069
190129B,07h49m08s +01° 15',122*13,IPN,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (117.28333333, 1.25)>",5970.35,False,
190129A,00h45m44s -31° 48',60,MAXI,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (11.43333333, -31.8)>",5970.35,True,bn190129074
190123A,03h32m55s +45° 29',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (53.22916667, 45.48333333)>",44353.19,True,bn190123513
190122A,17h14m50s +48° 07',55,Fermi,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (258.70833333, 48.11666667)>",44353.19,False,
190117A,07h35m27s +06° 31',202*14,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (113.8625, 6.51666667)>",44353.19,False,
190114C,03h38m02s -26° 56',3,Swift,y,y,y,y,,0.425,"<SkyCoord (ICRS): (ra, dec) in deg
    (54.50833333, -26.93333333)>",75423.19,True,bn190114873
190114B,11h39m32s +18° 53',3,Swift,,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (174.88333333, 18.88333333)>",75423.19,False,
190114A,04h22m11s +02° 10',3,Swift,,y,y,,,3.3765,"<SkyCoord (ICRS): (ra, dec) in deg
    (65.54583333, 2.16666667)>",75423.19,False,
190110A,18h27m32s -53° 41',3,Swift,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (276.88333333, -53.68333333)>",62688.3,True,bn190110726
190109B,03h42m23s +63° 35',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (55.59583333, 63.58333333)>",42969.2,True,bn190109497
190109A,02h12m52s +38° 07',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (33.21666667, 38.11666667)>",18761.78,True,bn190109217
190106A,01h59m33s +23° 51',3,Swift,,y,y,,,1.859,"<SkyCoord (ICRS): (ra, dec) in deg
    (29.8875, 23.85)>",18761.78,False,
190103B,14h10m18s +35° 16',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (212.575, 35.26666667)>",18761.78,False,
190103A,16h45m38s +17° 23',161*26,Agile,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (251.40833333, 17.38333333)>",18761.78,False,
181231A,16h58m22s +00° 37',14,Fermi,,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (254.59166667, 0.61666667)>",18761.78,False,
181228A,03h19m19s +13° 12',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (49.82916667, 13.2)>",10397.62,True,bn181228120
181227A,01h59m33s -53° 19',167*28,Fermi,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (29.8875, -53.31666667)>",10397.62,False,
181225A,23h12m17s -09° 29',8,AGILE,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (348.07083333, -9.48333333)>",42250.53,True,bn181225489
181224A,08h23m43s +06° 12',3,Swift,,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (125.92916667, 6.2)>",42250.53,False,
181222A,18h03m54s -38° 42',60,MAXI,,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (270.975, -38.7)>",24092.64,True,bn181222279
181213A,16h32m50s +78° 30',3,Swift,y,y,y,,,<2.4,"<SkyCoord (ICRS): (ra, dec) in deg
    (248.20833333, 78.5)>",24092.64,False,
181212A,20h02m39s +00° 19',326*29,Fermi,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (300.6625, 0.31666667)>",24092.64,False,
181205A,13h19m49s +08° 12',2,INTEGRAL,,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (199.95416667, 8.2)>",24092.64,False,
181203A,07h13m29s -39° 46',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (108.37083333, -39.76666667)>",24092.64,False,
181202A,18h42m59s +27° 67',3,Swift,,y,y?,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (280.74583333, 27.95)>",24092.64,False,
181201A,21h17m17s -12° 38',3,INTEGRAL,y,y,y,y,,<1.88,"<SkyCoord (ICRS): (ra, dec) in deg
    (319.32083333, -12.63333333)>",24092.64,False,
181127A,19h01m22s +31° 41',2.5,INTEGRAL,,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (285.34166667, 31.68333333)>",24092.64,False,
181126AS,10h09m24s -29° 41',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (152.35, -29.68333333)>",24092.64,False,
181125A,17h53m39s -02° 37',3,Swift,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (268.4125, -2.61666667)>",32079.91,True,bn181125371
181123BS,12h17m23s +14° 35',3,Swift,,y,y,,,1.754h,"<SkyCoord (ICRS): (ra, dec) in deg
    (184.34583333, 14.58333333)>",32079.91,False,
181121AS,00h57m42s -11° 59',468*29,Agile,,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (14.425, -11.98333333)>",32079.91,False,
181120A,01h21m31s +04° 10',60,Fermi,,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (20.37916667, 4.16666667)>",32079.91,False,
181110A,20h09m22s -36° 54',3,Swift,y,y,y,,,1.505,"<SkyCoord (ICRS): (ra, dec) in deg
    (302.34166667, -36.9)>",32079.91,False,
181103A,13h08m26s +52° 14',3,Swift,,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (197.10833333, 52.23333333)>",32079.91,False,
181030A,09h47m41s +14° 40',3,Swift,,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (146.92083333, 14.66666667)>",32079.91,False,
181028A,05h55m33s -21° 10',12,Fermi,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (88.8875, -21.16666667)>",32079.91,False,
181027A,15h01m32s +30° 53',3,Swift,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (225.38333333, 30.88333333)>",6539.39,True,bn181027076
181023A,16h33m19s +19° 34',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (248.32916667, 19.56666667)>",6539.39,False,
181022A,03h47m11s -29° 20',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (56.79583333, -29.33333333)>",6539.39,False,
181020A,00h55m52s -47° 23',3,Swift,y,y,y,,,2.938,"<SkyCoord (ICRS): (ra, dec) in deg
    (13.96666667, -47.38333333)>",68433.51,True,bn181020792
181016A,15h25m04s -35° 17',3,Swift,,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (231.26666667, -35.28333333)>",68433.51,False,
181013A,13h50m24s +40° 11',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (207.6, 40.18333333)>",68433.51,False,
181011A,06h13m21s +20° 23',16*11,MAXI,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (93.3375, 20.38333333)>",68433.51,False,
181010A,03h30m14s -23° 02',3,Swift,y,y,y,,,1.39,"<SkyCoord (ICRS): (ra, dec) in deg
    (52.55833333, -23.03333333)>",21351.71,True,bn181010247
181003A,03h30m17s -34° 01',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (52.57083333, -34.01666667)>",21351.71,False,
181002A,04h18m57s +15° 14',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (64.7375, 15.23333333)>",21351.71,False,
180930A,05h07m29s -25° 08',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (76.87083333, -25.13333333)>",21351.71,False,
180925A,21h00m51s -64° 27',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (315.2125, -64.45)>",21351.71,False,
180924A,03h16m39s -58° 30',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (49.1625, -58.5)>",21351.71,False,
180923A,02h33m13s +06° 18',60,MAXI,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (38.30416667, 6.3)>",21351.71,True,bn180923252
180914B,22h09m48s +24° 53',20,AGILE,y,y,y,,,1.096,"<SkyCoord (ICRS): (ra, dec) in deg
    (332.45, 24.88333333)>",66182.22,True,bn180914771
180914A,03h30m58s -05° 16',24,Fermi,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (52.74166667, -5.26666667)>",66182.22,False,
180905A,06h04m08s -04° 35',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (91.03333333, -4.58333333)>",66182.22,False,
180904A,18h17m00s +46° 37',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (274.25, 46.61666667)>",66182.22,False,
180829A,04h06m54s -01° 59',22*17,MAXI,,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (61.725, -1.98333333)>",66182.22,False,
180828A,17h54m48s -25° 48',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (268.7, -25.8)>",68254.78,True,bn180828790
180824AS,00h40m14s +56° 37',3,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (10.05833333, 56.61666667)>",68254.78,False,
180823A,14h01m24s +14° 53',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (210.35, 14.88333333)>",68254.78,False,
180821A,00h31m03s -38° 37',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (7.7625, -38.61666667)>",68254.78,False,
180818B,06h56m56s +39° 20',3,Swift,y,y,y?,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (104.23333333, 39.33333333)>",45018.55,True,bn180818520
180818A,11h18m27s -48° 21',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (169.6125, -48.35)>",45018.55,False,
180812A,16h23m33s +74° 40',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (245.8875, 74.66666667)>",30150.23,True,bn180812349
180809B,19h58m48s -15° 18',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (299.7, -15.3)>",30150.23,False,
180809A,19h51m10s -34° 40',8,MAXI,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (297.79166667, -34.66666667)>",30150.23,True,bn180809354
180806A,00h46m13s +24° 20',280,Fermi,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (11.55416667, 24.33333333)>",30150.23,False,
180805BS,01h43m15s -17° 30',3,Swift,y,y,,,,0.661h,"<SkyCoord (ICRS): (ra, dec) in deg
    (25.8125, -17.5)>",30150.23,False,
180805A,11h10m07s -45° 20',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (167.52916667, -45.33333333)>",30150.23,False,
180728BS,14h48m19s +15° 57',564*19,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (222.07916667, 15.95)>",30150.23,False,
180728A,16h54m17s -54° 02',3,Swift,y,y,y,,,0.117,"<SkyCoord (ICRS): (ra, dec) in deg
    (253.57083333, -54.03333333)>",62940.71,True,bn180728728
180727AS,23h06m40s -63° 03',3,Swift,y,y,,,,2.0phh,"<SkyCoord (ICRS): (ra, dec) in deg
    (346.66666667, -63.05)>",62940.71,False,
180722A,20h11m34s +24° 13',13*11,MAXI,,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (302.89166667, 24.21666667)>",62940.71,False,
180721A,23h10m47s +04° 53',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (347.69583333, 4.88333333)>",62940.71,False,
180720C,17h42m30s -26° 35',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (265.625, -26.58333333)>",80637.64,True,bn180720933
180720B,00h02m07s -02° 56',3,Swift,y,y,y,y,,0.654,"<SkyCoord (ICRS): (ra, dec) in deg
    (0.52916667, -2.93333333)>",51704.59,True,bn180720598
180718B,02h58m43s -31° 30',39,Fermi,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (44.67916667, -31.5)>",51704.59,False,
180718AS,22h24m05s +02° 47',3,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (336.02083333, 2.78333333)>",51704.59,False,
180715AS,15h40m17s +15° 38',3,Swift,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (235.07083333, 15.63333333)>",51704.59,False,
180714A,16h11m38s +33° 16',3.1,INTEGRAL,,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (242.90833333, 33.26666667)>",51704.59,False,
180709A,02h32m28s +60° 21',3,Swift,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (38.11666667, 60.35)>",51704.59,False,
180706A,12h06m40s +66° 02',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (181.66666667, 66.03333333)>",30280.41,True,bn180706351
180705A,14h10m23s -11° 38',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (212.59583333, -11.63333333)>",30280.41,False,
180704A,02h10m33s +69° 57',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (32.6375, 69.95)>",30280.41,False,
180703BS,06h27m41s -29° 53',24,Fermi,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (96.92083333, -29.88333333)>",30280.41,False,
180703A,00h26m10s -67° 05',18,Fermi,y,y,y,,,0.6678,"<SkyCoord (ICRS): (ra, dec) in deg
    (6.54166667, -67.08333333)>",30280.41,False,
180701A,21h19m40s -04° 30',20,MAXI,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (319.91666667, -4.5)>",30280.41,False,
180630A,03h15m14s -87° 29',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (48.80833333, -87.48333333)>",40311.8,True,bn180630467
180626CS,18h34m19s +47° 14',1130*22,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (278.57916667, 47.23333333)>",40311.8,False,
180626BS,14h18m13s +12° 25',1030*29,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (214.55416667, 12.41666667)>",40311.8,False,
180626A,16h14m16s +14° 45',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (243.56666667, 14.75)>",40311.8,False,
180624A,21h12m17s -02° 20',3,Swift,,y,y,,,2.855,"<SkyCoord (ICRS): (ra, dec) in deg
    (318.07083333, -2.33333333)>",40311.8,False,
180623A,14h18m03s -60° 18',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (214.5125, -60.3)>",40311.8,False,
180620B,23h50m04s -57° 57',3,Swift,y,y,y,,,1.1175,"<SkyCoord (ICRS): (ra, dec) in deg
    (357.51666667, -57.95)>",57037.16,True,bn180620660
180620A,18h39m32s +23° 16',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (279.88333333, 23.26666667)>",57037.16,False,
180618AS,11h19m45s +73° 51',3,Swift,y,y,y,,,0.544h,"<SkyCoord (ICRS): (ra, dec) in deg
    (169.9375, 73.85)>",57037.16,False,
180614A,00h12m38s +46° 57',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (3.15833333, 46.95)>",57037.16,False,
180613A,14h06m15s -43° 05',3,Swift,,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (211.5625, -43.08333333)>",57037.16,False,
180611A,03h05m53s -48° 50',672*54,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (46.47083333, -48.83333333)>",57037.16,True,bn180611665
180605A,03h10m02s -48° 39',140*29,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (47.50833333, -48.65)>",57037.16,True,bn180605665
180602A,09h29m21s +32° 06',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (142.3375, 32.1)>",57037.16,False,
180529AS,06h31m47s -54° 54',85*33,Agile,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (97.94583333, -54.9)>",57037.16,False,
180526A,07h14m18s +03° 41',118*60,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (108.575, 3.68333333)>",57037.16,False,
180514A,13h09m36s +36° 58',3,Swift,,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (197.4, 36.96666667)>",57037.16,False,
180512A,13h27m49s +21° 24',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (201.95416667, 21.4)>",57037.16,False,
180510B,05h11m57s -62° 20',3,Swift,,y,y,,,1.305,"<SkyCoord (ICRS): (ra, dec) in deg
    (77.9875, -62.33333333)>",57037.16,False,
180510A,18h25m16s -31° 55',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (276.31666667, -31.91666667)>",57037.16,False,
180504A,22h04m34s -14° 40',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (331.14166667, -14.66666667)>",57037.16,False,
180427A,18h04m03s +68° 27',173*37,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (271.0125, 68.45)>",57037.16,True,bn180427665
180425A,04h17m53s -32° 57',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (64.47083333, -32.95)>",57037.16,False,
180418A,11h20m27s +24° 57',3,Swift,y,y,y,,,1.55phh,"<SkyCoord (ICRS): (ra, dec) in deg
    (170.1125, 24.95)>",24246.07,True,bn180418281
180411A,23h47m19s +66° 47',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (356.82916667, 66.78333333)>",44863.71,True,bn180411519
180410A,06h23m56s +12° 48',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (95.98333333, 12.8)>",28979.23,True,bn180410336
180409A,11h43m22s +36° 18',49*19,IPN,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (175.84166667, 36.3)>",28979.23,True,bn180409340
180407A,02h20m58s +33° 30',3,Swift,,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (35.24166667, 33.5)>",28979.23,False,
180404C,06h09m13s +07° 49',340*80,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (92.30416667, 7.81666667)>",28979.23,False,
180404B,03h33m32s -50° 12',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (53.38333333, -50.2)>",7904.07,True,bn180404091
180404A,05h34m15s -37° 10',3,Swift,,y,y,,,1.000,"<SkyCoord (ICRS): (ra, dec) in deg
    (83.5625, -37.16666667)>",7904.07,False,
180402AS,16h47m37s -14° 58',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (251.90416667, -14.96666667)>",7904.07,False,
180331B,13h07m17s +61° 43',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (196.82083333, 61.71666667)>",7904.07,False,
180331A,04h24m04s +13° 24',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (66.01666667, 13.4)>",7904.07,False,
180329B,05h31m40s -23° 42',3,Swift,,y,y,,,1.998,"<SkyCoord (ICRS): (ra, dec) in deg
    (82.91666667, -23.7)>",7904.07,False,
180329A,21h57m11s -15° 04',3,Swift,,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (329.29583333, -15.06666667)>",7904.07,False,
180326A,19h26m55s -13° 33',182*47,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (291.72916667, -13.55)>",7904.07,False,
180325A,10h29m44s +24° 26',3,Swift,y,y,y,,,2.248,"<SkyCoord (ICRS): (ra, dec) in deg
    (157.43333333, 24.43333333)>",7904.07,False,
180324A,05h06m20s +56° 43',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (76.58333333, 56.71666667)>",7904.07,False,
180318A,12h01m22s +33° 56',230*18,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (180.34166667, 33.93333333)>",7904.07,False,
180317A,06h08m47s +23° 10',130*10,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (92.19583333, 23.16666667)>",7904.07,False,
180316A,17h41m45s +00° 44',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (265.4375, 0.73333333)>",7904.07,False,
180314B,19h51m28s +23° 37',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (297.86666667, 23.61666667)>",7904.07,False,
180314A,06h37m06s -24° 29',3,Swift,y,y,y,,,1.445,"<SkyCoord (ICRS): (ra, dec) in deg
    (99.275, -24.48333333)>",2611.38,True,bn180314030
180311A,00h13m44s -54° 29',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (3.43333333, -54.48333333)>",2611.38,False,
180305A,03h18m41s +32° 06',6.6,Fermi,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (49.67083333, 32.1)>",2611.38,False,
180224A,13h30m39s +38° 05',3,Swift,,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (202.6625, 38.08333333)>",2611.38,False,
180222A,17h06m17s -36° 48',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (256.57083333, -36.8)>",2611.38,False,
180210A,00h07m12s +18° 21',11,Fermi,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (1.8, 18.35)>",2611.38,False,
180205A,08h27m17s +11° 33',3,Swift,y,y,y,,,1.409,"<SkyCoord (ICRS): (ra, dec) in deg
    (126.82083333, 11.55)>",15925.39,True,bn180205184
180204AS,22h00m28s +30° 51',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (330.11666667, 30.85)>",15925.39,False,
180116A,14h22m37s +18° 58',8*7,MAXI,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (215.65416667, 18.96666667)>",15925.39,True,bn180116189
180115A,00h48m18s -15° 36',3,Swift,,y,y,,,2.487,"<SkyCoord (ICRS): (ra, dec) in deg
    (12.075, -15.6)>",15925.39,False,
180113C,11h41m12s -63° 16',160*14,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (175.3, -63.26666667)>",15925.39,True,bn180113189
180113B,00h26m47s +24° 01',384*35,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (6.69583333, 24.01666667)>",15925.39,True,bn180113189
180113A,01h16m52s +68° 41',3,Swift,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (19.21666667, 68.68333333)>",10026.66,True,bn180113116
180111A,09h59m22s +48° 16',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (149.84166667, 48.26666667)>",10026.66,False,
180103A,10h38m20s -53° 33',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (159.58333333, -53.55)>",10026.66,False,
180102A,13h32m28s +62° 09',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (203.11666667, 62.15)>",56984.29,True,bn180102660
171222A,09h53m10s +35° 37',3,Swift,y,y,y,,,2.409,"<SkyCoord (ICRS): (ra, dec) in deg
    (148.29166667, 35.61666667)>",59099.8,True,bn171222684
171216B,22h40m16s +52° 03',24*10,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (340.06666667, 52.05)>",59099.8,False,
171216A,14h08m19s -50° 28',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (212.07916667, -50.46666667)>",59099.8,False,
171212B,02h37m46s -70° 37',23,Fermi,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (39.44166667, -70.61666667)>",59099.8,False,
171212A,19h35m36s +20° 34',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (293.9, 20.56666667)>",59099.8,False,
171211A,06h32m26s -58° 40',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (98.10833333, -58.66666667)>",59099.8,False,
171210A,22h21m14s +24° 26',10,Fermi,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (335.30833333, 24.43333333)>",59099.8,False,
171209A,09h17m32s -30° 32',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (139.38333333, -30.53333333)>",59099.8,False,
171205A,11h09m47s -12° 36',3,Swift,y,y,y,y,,0.0368,"<SkyCoord (ICRS): (ra, dec) in deg
    (167.44583333, -12.6)>",59099.8,False,
171124A,22h22m05s +35° 13',12,Fermi,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (335.52083333, 35.21666667)>",59099.8,False,
171123A,12h24m46s +32° 32',3,Swift,,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (186.19166667, 32.53333333)>",59099.8,False,
171120A,10h55m09s +22° 27',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (163.7875, 22.45)>",48002.49,True,bn171120556
171119A,09h01m16s -50° 17',250*8,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (135.31666667, -50.28333333)>",48002.49,True,bn171119561
171115A,18h33m39s +09° 08',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (278.4125, 9.13333333)>",48002.49,False,
171112A,01h20m18s -59° 38',60,MAXI,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (20.075, -59.63333333)>",75017.15,True,bn171112868
171103AS,16h38m09s -10° 13',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (249.5375, -10.21666667)>",75017.15,False,
171102B,19h12m25s +22° 26',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (288.10416667, 22.43333333)>",75017.15,False,
171102A,12h30m55s +54° 02',49,Fermi,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (187.72916667, 54.03333333)>",75017.15,False,
171027A,04h06m43s -02° 36',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (61.67916667, -2.6)>",75017.15,False,
171022A,14h21m25s +12° 51',1314*12,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (215.35416667, 12.85)>",75017.15,True,bn171022873
171020A,02h37m03s +15° 11',3,Swift,,y,y,,,1.87,"<SkyCoord (ICRS): (ra, dec) in deg
    (39.2625, 15.18333333)>",75017.15,False,
171011A,15h47m03s -10° 04',3,Swift,,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (236.7625, -10.06666667)>",75017.15,False,
171010B,02h16m30s -54° 25',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (34.125, -54.41666667)>",75017.15,True,bn171010873
