grb,blocked
GRB140213807,[0]
GRB140302342,"[0, 1, 2, 3, 4, 5]"
GRB140311885,"[0, 1, 2, 3, 4, 5]"
GRB140320092,"[6, 7, 8, 9, 10, 11, 13]"
GRB140323433,[]
GRB140408553,"[6, 7, 8, 9, 10, 11, 13]"
GRB140423356,"[0, 1, 2, 3, 4, 5, 12]"
GRB140502354,"[6, 7, 8, 9, 10, 11, 13]"
GRB140506880,[6]
GRB140512814,"[6, 7, 8, 9, 10, 11, 13]"
GRB140521732,"[6, 8, 9, 10, 11, 13]"
GRB140610689,"[6, 7, 9, 10, 11, 13]"
GRB140703026,"[6, 7, 8, 9, 10, 11, 13]"
GRB140706815,"[9, 10, 11]"
GRB140709051,"[6, 7, 8, 9, 10, 11, 13]"
GRB140709637,"[0, 1, 2, 3, 4, 5, 12]"
GRB140713780,"[6, 7, 9, 10, 11]"
GRB140716436,"[0, 1, 2]"
GRB140828288,"[0, 1, 2, 3, 4, 5, 12]"
GRB140907672,"[6, 7, 8, 9, 10, 11, 13]"
GRB140919636,"[3, 4, 5]"
GRB141004973,"[6, 7, 8, 9, 11]"
GRB141005217,"[6, 7, 8, 9, 10, 11, 13]"
GRB141022061,[3]
GRB141031304,"[0, 1, 2]"
GRB141102536,[3]
GRB141220252,"[0, 1, 2, 3, 4, 5, 12]"
GRB141221338,"[3, 4, 5]"
GRB141225959,"[0, 1, 2, 3, 4, 5, 12]"
GRB150101270,"[6, 7, 8, 9, 10, 11, 13]"
GRB150101641,[3]
GRB150110923,"[6, 7, 8, 9, 10, 11, 13]"
GRB150120123,"[6, 7, 8, 9, 10, 11, 13]"
GRB150201574,[9]
GRB150203173,"[0, 3, 4, 5]"
GRB150204272,[0]
GRB150301045,"[3, 4, 5]"
GRB150301818,[]
GRB150309958,[6]
GRB150314205,"[0, 1, 2, 3, 4, 5, 12]"
GRB150323395,"[0, 1, 2, 3, 5]"
GRB150323712,"[0, 1, 2, 3, 4, 5, 12]"
GRB150403913,"[6, 7]"
GRB150430015,"[6, 7, 8]"
GRB150527283,"[6, 7, 8, 9, 10, 11, 13]"
GRB150530488,"[6, 7, 8, 9, 10, 11, 13]"
GRB150607330,"[0, 1, 2, 3, 4, 5, 12]"
GRB150711766,"[3, 4, 5]"
GRB150727793,"[3, 4, 5]"
GRB150817087,"[0, 1, 2, 3, 4, 5, 12]"
GRB150831930,[9]
GRB151001628,"[0, 1, 2, 3, 4, 5, 12]"
GRB151006413,"[0, 1, 2, 3, 4, 5, 12]"
GRB151027166,"[6, 9]"
GRB151111356,"[9, 10, 11]"
GRB151205657,"[0, 1, 2, 3, 4, 5, 12]"
GRB151228129,"[3, 4, 5, 12]"
GRB151228949,"[6, 7, 8]"
GRB151229285,"[6, 7, 8]"
GRB160104475,"[6, 7, 8, 9, 11]"
GRB160220059,"[0, 1, 2, 3, 4, 5, 12]"
GRB160223072,"[0, 1, 2, 12]"
GRB160325291,[]
GRB160411062,[6]
GRB160419637,"[9, 10, 11]"
GRB160424492,"[6, 7]"
GRB160624477,"[6, 7, 8, 9, 10, 11, 13]"
GRB160714097,"[0, 1, 2, 3, 4, 5, 12]"
GRB160726065,"[0, 3, 4, 5]"
GRB160804065,"[1, 2, 3, 4, 5, 12]"
GRB160815490,"[6, 7, 9, 11]"
GRB160821937,"[6, 9, 10, 11]"
GRB160905471,[0]
GRB160912674,"[6, 7, 8, 9, 10, 11, 13]"
GRB160917479,"[6, 7, 8, 9, 10, 11, 13]"
GRB161001045,"[9, 10, 11]"
GRB161004964,"[0, 1, 2]"
GRB161014522,"[6, 7, 8, 13]"
GRB161017745,"[0, 1, 2, 3, 4, 5, 12]"
GRB161022114,"[0, 1, 2, 3, 4, 5, 12]"
GRB161117066,"[6, 7, 8]"
GRB161129300,"[6, 7, 8, 9, 10, 11, 13]"
GRB170113420,[9]
GRB170126480,"[3, 5]"
GRB170127634,"[9, 10, 11]"
GRB170131969,"[6, 7, 8, 9, 10, 11, 13]"
GRB170208758,[0]
GRB170208940,"[0, 1, 2, 3, 4, 5, 12]"
GRB170307851,"[9, 10, 11]"
GRB170318644,"[6, 7, 9, 10, 11]"
GRB170325331,"[0, 1, 2, 3, 4, 5, 12]"
GRB170405777,"[3, 4, 5]"
GRB170419898,"[6, 7, 8, 9, 10, 11, 13]"
GRB170607971,[9]
GRB170626401,"[0, 1, 2, 3, 4, 5, 12]"
GRB170629537,"[0, 1, 2]"
GRB170705115,"[0, 2, 3, 4, 5]"
GRB170711931,"[6, 7, 8, 9, 10, 11, 13]"
GRB170803729,[0]
GRB170813051,"[3, 4, 5]"
GRB170903534,"[0, 1, 2, 3, 5]"
GRB170906030,[3]
GRB170906039,"[3, 4, 5]"
