Trigger	swift_ra	swift_dec	balrog_ra	balrog_dec	balrog_off	balrog_model	dol_ra	dol_dec	dol_err	dol_off	fluence	peak_flux
100906576	28.7	55.6	31.0 +or- 0.9	54.5 +or- 0.6	1.7	cpl	28.0	55.2	1.1	0.6	2.3 middot 10^-5	1.4 middot 10^1	
101023951	318.0	-65.5	322.5 +or- 1.5	-68.1 +or- 0.4	3.2	cpl	315.5	-66.5	1.0	1.4	6.4 middot 10^-5	3.7 middot 10^1	
101024486	66.5	-77.3	96.6 +or- 53.0	-75.8 +or- 4.6	7.1	pl	147.1	-77.2	9.6	16.4	3.3 middot 10^-6	8.3	
101201418	1.9	-16.1	3.0 +or- 0.8	-14.1 +or- 1.2	2.3	band	3.9	-14.7	1.6	2.4	2.4 middot 10^-5	6.9	
110102788	245.9	7.6	243.6 +or- 1.0	5.4 +or- 0.9	3.2	cpl	246.2	6.0	2.0	1.6	3.7 middot 10^-5	1.4 middot 10^1	
110213220	43.0	49.3	39.5 +or- 1.7	47.9 +or- 1.2	2.7	pl	49.0	52.8	2.3	5.1	9.4 middot 10^-6	1.8 middot 10^1	
110318552	338.3	-15.3	337.9 +or- 0.9	-17.8 +or- 1.1	2.5	cpl	335.9	-14.9	1.9	2.4	8.2 middot 10^-6	1.1 middot 10^1	
110402009	197.4	61.4	196.8 +or- 9.6	58.0 +or- 3.8	3.3	cpl	187.7	58.7	2.2	5.5	1.1 middot 10^-5	7.8	
110610640	308.2	74.8	301.0 +or- 5.7	73.6 +or- 1.3	2.3	pl	306.5	75.9	2.6	1.2	8.0 middot 10^-6	5.8	
110625881	286.8	6.8	287.6 +or- 0.2	7.9 +or- 0.2	1.4	cpl	287.7	6.7	1.0	0.9	6.5 middot 10^-5	7.7 middot 10^1	
110709642	238.9	40.9	238.7 +or- 1.4	38.8 +or- 1.6	2.1	cpl	241.2	41.8	1.1	1.9	3.7 middot 10^-5	1.1 middot 10^1	
110731465	280.5	-28.5	282.4 +or- 0.4	-28.8 +or- 0.9	1.7	cpl	283.1	-34.0	1.0	5.9	2.3 middot 10^-5	2.1 middot 10^1	
111228657	150.1	18.3	148.6 +or- 0.4	17.8 +or- 1.3	1.5	pl	146.6	14.6	2.4	5.0	1.8 middot 10^-5	2.1 middot 10^1	
120102095	276.2	24.7	276.2 +or- 2.1	22.0 +or- 0.8	2.7	cpl	277.1	20.4	2.0	4.4	1.3 middot 10^-5	1.9 middot 10^1	
120119170	120.0	-9.1	120.1 +or- 0.5	-9.0 +or- 0.6	0.1	cpl	119.0	-9.0	1.1	1.0	3.9 middot 10^-5	1.7 middot 10^1	
120326056	273.9	69.3	267.3 +or- 5.7	71.6 +or- 2.0	3.2	pl	262.2	62.1	4.2	8.6	3.3 middot 10^-6	7.7	
120624933	170.9	8.9	170.8 +or- 0.9	10.8 +or- 0.8	1.9	cpl	171.8	5.6	1.0	3.4	1.9 middot 10^-4	1.8 middot 10^1	
120703726	339.4	-29.7	335.6 +or- 1.5	-30.3 +or- 1.2	3.3	cpl	339.8	-29.5	1.7	0.4	8.3 middot 10^-6	1.7 middot 10^1	
